Image ID,Time,Latitude,Longitude,Altitude
230,2022-12-28 00:47:48.084442139+00:00,-47.12731560486678,262.58634229341567,6485925.234558975
231,2022-12-28 02:01:15.612075806+00:00,-45.21580262184762,46.96361310843164,6486340.938413541
232,2022-12-28 02:01:21.612075806+00:00,-45.58454796338904,46.830878747062464,6486288.624572323
233,2022-12-28 02:01:27.612091064+00:00,-45.95513584094958,46.69370656956296,6486128.9605577085
234,2022-12-28 02:01:33.612091064+00:00,-46.32489011484486,46.55501552132132,6486000.472260433
235,2022-12-28 02:01:39.612091064+00:00,-46.69519225750226,46.41686245712635,6485861.797006171
236,2022-12-28 02:01:45.612091064+00:00,-47.06238793821943,46.27599933726166,6485842.89036924
237,2022-12-28 02:01:51.612091064+00:00,-47.43417557922337,46.13362300818589,6485623.136952449
238,2022-12-28 02:01:57.612091064+00:00,-47.80465155809159,45.98828448613877,6485444.704944731
239,2022-12-28 02:02:03.612091064+00:00,-48.174032638498105,45.8434010738912,6485326.220202987
240,2022-12-28 02:02:09.612091064+00:00,-48.5423390741136,45.69423118458802,6485228.511147309
241,2022-12-28 02:02:15.612106323+00:00,-48.90938675417548,45.54807735321921,6485218.812171952
242,2022-12-28 02:02:21.612106323+00:00,-49.28209295620062,45.39530371057734,6484922.681850079
243,2022-12-28 02:02:27.612106323+00:00,-49.650373637357816,45.24161234429909,6484818.97221491
244,2022-12-28 02:02:33.612106323+00:00,-50.018109943006856,45.08598607598421,6484733.373749585
245,2022-12-28 02:02:39.612106323+00:00,-50.38617224679335,44.930040487744726,6484641.774929926
246,2022-12-28 02:02:45.612121582+00:00,-50.75629695455572,44.76887092989224,6484430.503508633
247,2022-12-28 02:02:51.612121582+00:00,-51.12290015382236,44.6094081495408,6484395.015422641
248,2022-12-28 02:02:57.612121582+00:00,-51.49068100142389,44.44489751565155,6484279.628396515
249,2022-12-28 02:03:03.612121582+00:00,-51.86082017350454,44.27887077067781,6484063.288442753
250,2022-12-28 02:03:09.612121582+00:00,-52.22765545957884,44.11356058733854,6484005.595289105
251,2022-12-28 02:03:15.612121582+00:00,-52.59684077711641,43.94090134280533,6483800.894681476
252,2022-12-28 02:03:21.612121582+00:00,-52.96240995105657,43.76906560141976,6483769.9291355
253,2022-12-28 02:03:27.612121582+00:00,-53.32977392150218,43.59327525792519,6483643.443834197
254,2022-12-28 02:03:33.612136841+00:00,-53.6968418357506,43.41567133724535,6483528.484232178
255,2022-12-28 02:03:39.612136841+00:00,-54.06419539780968,43.23319348251822,6483376.182563363
256,2022-12-28 02:03:45.612136841+00:00,-54.43035994693077,43.05011860642519,6483283.728276397
257,2022-12-28 02:03:51.612136841+00:00,-54.79709251285044,42.86391971172775,6483156.479114789
258,2022-12-28 02:03:57.612152100+00:00,-55.16415981010835,42.67498233956589,6483008.046073153
259,2022-12-28 02:04:03.612136841+00:00,-55.53065000114316,42.48367848125149,6482880.336543488
260,2022-12-28 02:04:09.612152100+00:00,-55.89481709982331,42.28676903615194,6482823.004501913
261,2022-12-28 02:04:15.612152100+00:00,-56.26095671365141,42.085923334439286,6482666.658427423
262,2022-12-28 02:04:21.612152100+00:00,-56.62657738593347,41.88511438879547,6482549.034260387
263,2022-12-28 02:04:27.612152100+00:00,-56.99132610109281,41.68104784364919,6482459.437819257
264,2022-12-28 02:04:33.612167358+00:00,-57.355598879785774,41.4711034935561,6482361.455244684
265,2022-12-28 02:04:39.612167358+00:00,-57.72024461928171,41.25731898108701,6482235.435067278
266,2022-12-28 02:04:45.612167358+00:00,-58.083783185211765,41.041989742939634,6482162.411117678
267,2022-12-28 02:04:51.612167358+00:00,-58.44965048807621,40.82071431961287,6481963.412547466
268,2022-12-28 02:04:57.612182617+00:00,-58.81203318101733,40.59332273725057,6481883.77302532
269,2022-12-28 02:05:03.612182617+00:00,-59.17541191318126,40.36555643415991,6481779.190207763
270,2022-12-28 02:05:09.612182617+00:00,-59.53710291480602,40.134788823247376,6481742.789516103
271,2022-12-28 02:05:15.612182617+00:00,-59.899420179505086,39.89373579070759,6481622.116791572
272,2022-12-28 02:05:21.612182617+00:00,-60.26224804772804,39.65289192187932,6481503.081813108
273,2022-12-28 02:05:27.612182617+00:00,-60.62559273229147,39.406559066360295,6481342.629322854
274,2022-12-28 02:05:33.612182617+00:00,-60.98702115263198,39.1513919977653,6481218.716455602
275,2022-12-28 02:05:39.612182617+00:00,-61.34716072191649,38.89775587469884,6481184.189384725
276,2022-12-28 02:05:45.612197876+00:00,-61.70894104414204,38.63111206602022,6481006.572904131
277,2022-12-28 02:05:51.612197876+00:00,-62.06757911564161,38.36277302052186,6480973.220690306
278,2022-12-28 02:05:57.612197876+00:00,-62.42752286897691,38.08911358493848,6480870.895308272
279,2022-12-28 02:06:03.612197876+00:00,-62.78763807346216,37.80869724374477,6480737.90318103
280,2022-12-28 02:06:09.612197876+00:00,-63.14478266701824,37.52260633396121,6480713.653042274
281,2022-12-28 02:06:15.612197876+00:00,-63.50531220976233,37.22748185799206,6480509.891754512
282,2022-12-28 02:06:21.612197876+00:00,-63.86135381276429,36.92613571036024,6480476.120501967
283,2022-12-28 02:06:27.612197876+00:00,-64.21785419853722,36.62143380877705,6480428.905991998
284,2022-12-28 02:06:33.612197876+00:00,-64.57525792261983,36.30596685691306,6480296.272734781
285,2022-12-28 02:06:39.612197876+00:00,-64.93134776937733,35.98278814943683,6480193.846033425
286,2022-12-28 02:06:45.612197876+00:00,-65.28721533925543,35.65296442367185,6480086.157901412
287,2022-12-28 02:06:51.611236572+00:00,-65.63916216293816,35.31529132787817,6480114.633487294
288,2022-12-28 02:06:57.612197876+00:00,-65.99734318179407,34.96488676004644,6479835.283720956
289,2022-12-28 02:07:03.612197876+00:00,-66.34990783905752,34.60869922820445,6479780.092934438
290,2022-12-28 02:07:09.612197876+00:00,-66.70129670664154,34.24535209703789,6479760.350606503
291,2022-12-28 02:07:15.612197876+00:00,-67.05354473004016,33.8703814849268,6479661.635862872
292,2022-12-28 02:07:21.612182617+00:00,-67.40561659938518,33.4797496194855,6479498.80889124
293,2022-12-28 02:07:27.612197876+00:00,-67.75332226894746,33.087034399383995,6479543.858595363
294,2022-12-28 02:07:33.612197876+00:00,-68.10544932499101,32.67844985368323,6479340.367308661
295,2022-12-28 02:07:39.612197876+00:00,-68.45143089628203,32.26046584351014,6479366.008418711
296,2022-12-28 02:07:45.612197876+00:00,-68.79993522132028,31.82467249634763,6479211.818578466
297,2022-12-28 02:07:51.612197876+00:00,-69.14680532061612,31.38166597114335,6479124.292344447
298,2022-12-28 02:07:57.612213135+00:00,-69.48932968775841,30.92539411792005,6479170.2909244215
299,2022-12-28 02:08:03.612213135+00:00,-69.83573810143753,30.452491135254554,6478998.882487353
300,2022-12-28 02:08:09.612213135+00:00,-70.17633197883968,29.965267332439723,6479016.044102469
301,2022-12-28 02:08:15.612213135+00:00,-70.51919002180419,29.46135769068117,6478887.087306769
302,2022-12-28 02:08:21.612213135+00:00,-70.8599059614428,28.9428853550252,6478804.494181336
