t_start_utc,t_end_utc,n_images,mats_obs_utc,aim_overpass_utc,time_diff_min,mats_sat_lat_deg,mats_sat_lon_deg,aim_center_lat_deg,aim_center_lon_deg,cross_track_km,distance_sat_to_aim_km
2023-02-11T23:21:30Z,2023-02-11T23:23:27Z,40,2023-02-11T23:22:30Z,2023-02-11T23:40:30Z,18.0,80.228,146.482,80.302,146.612,8.1,8.6
2023-02-12T00:09:51Z,2023-02-12T00:11:48Z,40,2023-02-12T00:10:48Z,2023-02-12T00:27:48Z,17.0,-80.297,-45.075,-80.343,-45.546,1.1,10.1
2023-02-12T00:58:00Z,2023-02-12T00:59:57Z,40,2023-02-12T00:58:57Z,2023-02-12T01:15:03Z,16.1,80.344,123.245,80.242,123.458,6.8,12.0
2023-02-12T01:46:18Z,2023-02-12T01:48:15Z,40,2023-02-12T01:47:18Z,2023-02-12T02:02:21Z,15.1,-80.298,-69.192,-80.284,-68.697,4.1,9.5
2023-02-12T02:34:30Z,2023-02-12T02:36:27Z,40,2023-02-12T02:35:27Z,2023-02-12T02:49:39Z,14.2,80.346,99.129,80.295,99.387,1.7,7.4
2023-02-12T03:22:48Z,2023-02-12T03:24:45Z,40,2023-02-12T03:23:45Z,2023-02-12T03:36:57Z,13.2,-80.413,-92.423,-80.336,-92.772,10.7,10.7
2023-02-12T04:10:57Z,2023-02-12T04:12:54Z,40,2023-02-12T04:11:57Z,2023-02-12T04:24:15Z,12.3,80.347,75.013,80.348,75.307,3.3,5.5
2023-02-12T04:59:18Z,2023-02-12T05:01:15Z,40,2023-02-12T05:00:15Z,2023-02-12T05:11:33Z,11.3,-80.414,-116.542,-80.389,-116.857,5.7,6.5
2023-02-12T05:47:27Z,2023-02-12T05:49:24Z,40,2023-02-12T05:48:27Z,2023-02-12T05:58:51Z,10.4,80.348,50.897,80.401,51.217,8.2,8.4
2023-02-12T06:35:45Z,2023-02-12T06:37:45Z,41,2023-02-12T06:36:45Z,2023-02-12T06:46:09Z,9.4,-80.415,-140.661,-80.442,-140.953,0.6,6.2
2023-02-12T07:23:57Z,2023-02-12T07:25:54Z,40,2023-02-12T07:24:54Z,2023-02-12T07:33:27Z,8.6,80.462,27.677,80.454,27.117,6.6,10.4
2023-02-12T08:12:15Z,2023-02-12T08:14:15Z,41,2023-02-12T08:13:15Z,2023-02-12T08:20:45Z,7.5,-80.415,-164.781,-80.494,-165.058,4.3,10.2
2023-02-12T09:00:24Z,2023-02-12T09:02:24Z,41,2023-02-12T09:01:24Z,2023-02-12T09:08:00Z,6.6,80.463,3.558,80.399,3.956,1.6,10.2
2023-02-12T09:48:45Z,2023-02-12T09:50:42Z,40,2023-02-12T09:49:42Z,2023-02-12T09:55:18Z,5.6,-80.527,172.005,-80.44,171.777,10.3,10.5
2023-02-12T10:36:54Z,2023-02-12T10:38:54Z,41,2023-02-12T10:37:54Z,2023-02-12T10:42:36Z,4.7,80.464,-20.561,80.452,-20.149,3.3,7.7
2023-02-12T11:25:12Z,2023-02-12T11:27:12Z,41,2023-02-12T11:26:12Z,2023-02-12T11:29:54Z,3.7,-80.526,147.877,-80.494,147.662,5.2,5.3
2023-02-12T12:13:24Z,2023-02-12T12:15:24Z,41,2023-02-12T12:14:24Z,2023-02-12T12:17:12Z,2.8,80.464,-44.682,80.507,-44.27,8.2,9.0
2023-02-12T13:01:42Z,2023-02-12T13:03:42Z,41,2023-02-12T13:02:42Z,2023-02-12T13:04:30Z,1.8,-80.527,123.753,-80.548,123.535,0.2,4.7
2023-02-12T13:49:51Z,2023-02-12T13:51:51Z,41,2023-02-12T13:50:51Z,2023-02-12T13:51:48Z,0.9,80.575,-67.886,80.561,-68.401,6.5,9.5
2023-02-12T14:38:12Z,2023-02-12T14:40:12Z,41,2023-02-12T14:39:12Z,2023-02-12T14:39:06Z,-0.1,-80.527,99.628,-80.602,99.398,4.7,9.4
2023-02-12T15:26:21Z,2023-02-12T15:28:21Z,41,2023-02-12T15:27:21Z,2023-02-12T15:26:24Z,-0.9,80.575,-92.009,80.615,-92.544,1.7,10.7
2023-02-12T16:14:39Z,2023-02-12T16:16:42Z,42,2023-02-12T16:15:39Z,2023-02-12T16:13:39Z,-2.0,-80.635,76.43,-80.552,76.226,9.8,10.0
2023-02-12T17:02:51Z,2023-02-12T17:04:51Z,41,2023-02-12T17:03:51Z,2023-02-12T17:00:57Z,-2.9,80.575,-116.133,80.565,-115.716,3.3,7.7
2023-02-12T17:51:09Z,2023-02-12T17:53:09Z,41,2023-02-12T17:52:09Z,2023-02-12T17:48:15Z,-3.9,-80.635,52.303,-80.607,52.076,4.9,5.2
