t_start_utc,t_end_utc,n_images,mats_obs_utc,aim_overpass_utc,time_diff_min,mats_tp_lat_deg,mats_tp_lon_deg,aim_center_lat_deg,aim_center_lon_deg,cross_track_km,distance_tp_to_aim_km
2023-02-15T08:28:57Z,2023-02-15T08:29:59Z,2,2023-02-15T08:29:59Z,2023-02-15T08:51:00Z,21.0,-79.342,-172.75,-80.642,-173.772,109.4,146.0
2023-02-15T09:17:58Z,2023-02-15T09:17:58Z,1,2023-02-15T09:17:58Z,2023-02-15T09:38:00Z,20.0,79.969,-0.296,79.992,-0.173,3.5,3.5
2023-02-15T10:05:58Z,2023-02-15T10:07:00Z,2,2023-02-15T10:05:58Z,2023-02-15T10:25:00Z,19.0,-80.457,172.215,-79.33,172.385,90.1,125.5
2023-02-15T10:54:02Z,2023-02-15T10:55:02Z,2,2023-02-15T10:54:02Z,2023-02-15T11:12:00Z,18.0,80.814,-16.017,78.543,-15.227,163.0,253.2
2023-02-15T11:42:01Z,2023-02-15T11:42:57Z,2,2023-02-15T11:42:57Z,2023-02-15T12:00:00Z,17.0,-79.417,139.469,-80.373,141.364,108.6,112.7
2023-02-15T12:30:00Z,2023-02-15T12:31:00Z,2,2023-02-15T12:31:00Z,2023-02-15T12:47:00Z,16.0,79.889,-49.219,79.689,-45.331,30.5,79.9
2023-02-15T13:19:00Z,2023-02-15T13:20:02Z,2,2023-02-15T13:19:00Z,2023-02-15T13:34:00Z,15.0,-80.378,123.165,-79.003,126.967,61.3,170.7
2023-02-15T14:07:00Z,2023-02-15T14:08:00Z,2,2023-02-15T14:08:00Z,2023-02-15T14:22:00Z,14.0,78.71,-81.097,80.682,-76.889,231.4,234.8
2023-02-15T14:54:58Z,2023-02-15T14:56:00Z,2,2023-02-15T14:56:00Z,2023-02-15T15:09:00Z,13.0,-79.336,90.695,-80.092,96.351,133.3,140.4
2023-02-15T15:42:58Z,2023-02-15T15:43:58Z,2,2023-02-15T15:43:58Z,2023-02-15T15:56:00Z,12.0,79.964,-96.851,79.376,-90.625,28.3,140.4
2023-02-15T16:31:58Z,2023-02-15T16:33:00Z,2,2023-02-15T16:31:58Z,2023-02-15T16:44:00Z,12.0,-80.456,75.728,-81.01,64.205,68.5,215.1
2023-02-15T18:08:00Z,2023-02-15T18:09:02Z,2,2023-02-15T18:09:02Z,2023-02-15T18:18:00Z,9.0,-79.211,41.644,-79.8,51.196,164.6,204.2
2023-02-15T18:55:58Z,2023-02-15T18:56:58Z,2,2023-02-15T18:56:58Z,2023-02-15T19:05:00Z,8.0,79.965,-145.073,79.055,-136.047,39.3,208.8
2023-02-15T19:44:58Z,2023-02-15T19:46:00Z,2,2023-02-15T19:44:58Z,2023-02-15T19:53:00Z,8.0,-80.44,27.294,-80.772,19.49,52.9,146.4
2023-02-15T20:33:02Z,2023-02-15T20:34:02Z,2,2023-02-15T20:33:02Z,2023-02-15T20:40:00Z,7.0,80.797,-160.946,80.145,-166.788,124.8,129.7
2023-02-15T21:21:01Z,2023-02-15T21:21:57Z,2,2023-02-15T21:21:01Z,2023-02-15T21:27:00Z,6.0,-81.184,12.654,-79.502,5.876,221.6,225.7
2023-02-15T22:09:02Z,2023-02-15T22:10:02Z,2,2023-02-15T22:10:02Z,2023-02-15T22:15:00Z,5.0,79.807,165.397,81.058,160.913,76.3,162.0
2023-02-15T22:58:01Z,2023-02-15T22:59:03Z,2,2023-02-15T22:58:01Z,2023-02-15T23:02:00Z,4.0,-80.364,-21.752,-80.525,-25.425,25.4,70.2
2023-02-15T23:45:59Z,2023-02-15T23:47:00Z,2,2023-02-15T23:45:59Z,2023-02-15T23:49:00Z,3.0,80.884,151.855,79.861,148.037,132.4,134.2
2023-02-16T00:33:59Z,2023-02-16T00:35:01Z,2,2023-02-16T00:33:59Z,2023-02-16T00:36:00Z,2.0,-81.23,-34.869,-79.195,-39.556,221.5,243.2
2023-02-16T01:21:58Z,2023-02-16T01:22:58Z,2,2023-02-16T01:22:58Z,2023-02-16T01:24:00Z,1.0,79.941,118.186,80.829,116.171,63.5,105.8
2023-02-16T02:10:58Z,2023-02-16T02:10:58Z,1,2023-02-16T02:10:58Z,2023-02-16T02:11:00Z,0.0,-80.433,-69.317,-80.264,-70.458,27.8,28.4
2023-02-16T02:59:02Z,2023-02-16T03:00:02Z,2,2023-02-16T02:59:02Z,2023-02-16T02:58:00Z,-1.0,80.785,102.379,79.568,102.728,97.7,135.6
2023-02-16T03:47:01Z,2023-02-16T03:47:57Z,2,2023-02-16T03:47:57Z,2023-02-16T03:46:00Z,-2.0,-79.395,-101.93,-81.151,-102.942,163.1,196.4
2023-02-16T04:35:02Z,2023-02-16T04:36:02Z,2,2023-02-16T04:36:02Z,2023-02-16T04:33:00Z,-3.0,79.786,68.738,80.587,71.28,101.1,101.4
2023-02-16T05:24:00Z,2023-02-16T05:24:00Z,1,2023-02-16T05:24:00Z,2023-02-16T05:20:00Z,-4.0,-80.353,-118.328,-79.992,-115.629,1.1,65.1
2023-02-16T18:15:02Z,2023-02-16T18:15:58Z,2,2023-02-16T18:15:58Z,2023-02-16T17:57:00Z,-19.0,-80.385,48.988,-81.115,44.785,32.1,110.6
2023-02-16T19:04:01Z,2023-02-16T19:04:57Z,2,2023-02-16T19:04:01Z,2023-02-16T18:44:00Z,-20.0,80.753,-139.223,80.546,-141.059,37.9,40.4
2023-02-16T19:51:58Z,2023-02-16T19:53:00Z,2,2023-02-16T19:51:58Z,2023-02-16T19:31:00Z,-21.0,-81.217,35.428,-79.951,31.955,148.2,154.4
2023-02-16T20:40:01Z,2023-02-16T20:40:57Z,2,2023-02-16T20:40:57Z,2023-02-16T20:19:00Z,-22.0,79.904,-171.587,81.376,-174.142,126.8,170.2
2023-02-16T21:27:58Z,2023-02-16T21:29:00Z,2,2023-02-16T21:29:00Z,2023-02-16T21:06:00Z,-23.0,-80.329,0.162,-80.907,-0.095,53.0,64.5
2023-02-16T22:17:03Z,2023-02-16T22:17:58Z,2,2023-02-16T22:17:03Z,2023-02-16T21:53:00Z,-24.1,80.698,171.875,80.302,173.787,15.8,56.3
2023-02-16T23:04:59Z,2023-02-16T23:06:01Z,2,2023-02-16T23:04:59Z,2023-02-16T22:40:00Z,-25.0,-81.177,-13.527,-79.682,-13.452,125.7,166.5
2023-02-16T23:53:02Z,2023-02-16T23:53:58Z,2,2023-02-16T23:53:58Z,2023-02-16T23:28:00Z,-26.0,79.839,139.623,81.19,141.117,146.8,152.8
