mats_obs_utc,aim_overpass_utc,time_diff_min,mats_sat_lat_deg,mats_sat_lon_deg,aim_center_lat_deg,aim_center_lon_deg,cross_track_km,distance_sat_to_aim_km
2023-02-14T20:32:59Z,2023-02-14T21:02:00Z,29.0,77.56,175.298,81.075,178.913,382.4,398.1
2023-02-14T21:19:58Z,2023-02-14T21:49:00Z,29.0,-80.946,3.277,-80.535,-7.319,155.4,194.9
2023-02-14T21:21:00Z,2023-02-14T21:49:00Z,28.0,-78.426,-13.258,-80.535,-7.319,263.0,263.7
2023-02-14T22:08:02Z,2023-02-14T22:36:00Z,28.0,81.165,173.562,79.869,166.178,197.6,197.6
2023-02-14T22:09:21Z,2023-02-14T22:36:00Z,26.6,77.945,152.659,79.869,166.178,334.9,358.7
2023-02-14T22:56:01Z,2023-02-14T23:23:00Z,27.0,-81.72,-11.051,-79.193,-21.355,327.8,338.5
2023-02-14T22:56:57Z,2023-02-14T23:23:00Z,26.0,-79.866,-29.599,-79.193,-21.355,48.1,182.6
2023-02-14T23:45:00Z,2023-02-15T00:11:00Z,26.0,80.172,140.484,80.826,134.401,3.2,133.3
2023-02-14T23:45:57Z,2023-02-15T00:11:00Z,25.0,77.652,127.383,80.826,134.401,379.8,381.6
2023-02-15T00:33:00Z,2023-02-15T00:58:00Z,25.0,-80.859,-45.855,-80.252,-52.165,125.4,133.5
2023-02-15T00:34:02Z,2023-02-15T00:58:00Z,24.0,-78.305,-62.057,-80.252,-52.165,291.2,297.5
2023-02-15T01:21:00Z,2023-02-15T01:45:00Z,24.0,81.213,125.821,79.551,121.026,195.2,205.2
2023-02-15T01:21:42Z,2023-02-15T01:45:00Z,23.3,79.673,112.984,79.551,121.026,87.3,161.9
2023-02-15T02:08:57Z,2023-02-15T02:32:00Z,23.0,-81.809,-57.792,-78.852,-66.768,340.1,368.5
2023-02-15T02:09:59Z,2023-02-15T02:33:00Z,23.0,-79.766,-78.501,-81.133,-84.519,73.1,188.3
2023-02-15T02:57:58Z,2023-02-15T03:20:00Z,22.0,80.233,92.688,80.563,89.701,2.2,66.5
2023-02-15T03:45:58Z,2023-02-15T04:07:00Z,21.0,-80.936,-93.324,-79.956,-97.171,129.1,130.2
2023-02-15T03:47:00Z,2023-02-15T04:07:00Z,20.0,-78.413,-109.822,-79.956,-97.171,285.7,314.2
2023-02-15T04:34:02Z,2023-02-15T04:54:00Z,20.0,81.144,76.819,79.224,75.736,168.4,214.7
2023-02-15T04:34:44Z,2023-02-15T04:54:00Z,19.3,79.58,64.189,79.224,75.736,112.8,239.3
2023-02-15T05:22:01Z,2023-02-15T05:41:00Z,19.0,-81.712,-107.666,-78.504,-112.303,300.1,367.6
2023-02-15T05:22:57Z,2023-02-15T05:42:00Z,19.0,-79.852,-126.174,-80.896,-129.065,69.8,128.0
2023-02-15T06:10:00Z,2023-02-15T06:29:00Z,19.0,81.968,65.091,80.284,44.841,377.6,392.1
2023-02-15T06:11:00Z,2023-02-15T06:29:00Z,18.0,80.147,43.822,80.284,44.841,23.7,24.6
2023-02-15T06:59:00Z,2023-02-15T07:16:00Z,17.0,-80.848,-142.419,-79.648,-142.323,100.1,133.7
2023-02-15T07:00:02Z,2023-02-15T07:16:00Z,16.0,-78.292,-158.594,-79.648,-142.323,312.6,376.4
2023-02-15T07:47:00Z,2023-02-15T08:03:00Z,16.0,81.202,29.241,78.888,30.316,169.0,258.4
2023-02-15T07:47:48Z,2023-02-15T08:04:00Z,16.2,79.405,14.915,81.163,12.378,148.1,201.3
2023-02-15T08:34:57Z,2023-02-15T08:51:00Z,16.0,-81.795,-154.493,-80.642,-173.772,314.2,349.9
2023-02-15T08:35:59Z,2023-02-15T08:51:00Z,15.0,-79.743,-175.129,-80.642,-173.772,98.2,103.3
2023-02-15T09:22:58Z,2023-02-15T09:38:00Z,15.0,82.004,17.612,79.992,-0.173,376.8,379.7
2023-02-15T09:23:58Z,2023-02-15T09:38:00Z,14.0,80.219,-3.915,79.992,-0.173,22.4,75.9
2023-02-15T10:11:57Z,2023-02-15T10:25:00Z,13.0,-80.948,170.283,-79.33,172.385,107.9,184.5
2023-02-15T10:13:00Z,2023-02-15T10:26:00Z,13.0,-78.382,153.535,-81.434,153.172,307.0,339.8
2023-02-15T11:00:02Z,2023-02-15T11:13:00Z,13.0,81.141,-19.745,80.93,-32.176,146.6,216.5
2023-02-15T11:01:02Z,2023-02-15T11:13:00Z,12.0,78.788,-36.631,80.93,-32.176,251.3,253.8
2023-02-15T11:48:01Z,2023-02-15T12:00:00Z,12.0,-81.696,155.525,-80.373,141.364,273.3,285.3
2023-02-15T11:48:57Z,2023-02-15T12:00:00Z,11.0,-79.824,137.111,-80.373,141.364,95.9,101.8
2023-02-15T12:36:00Z,2023-02-15T12:47:00Z,11.0,81.967,-31.507,79.689,-45.331,350.6,351.1
2023-02-15T12:37:00Z,2023-02-15T12:47:00Z,10.0,80.141,-52.752,79.689,-45.331,46.5,153.0
2023-02-15T13:25:00Z,2023-02-15T13:35:00Z,10.0,-80.841,120.961,-81.231,108.766,78.1,215.5
2023-02-15T13:26:02Z,2023-02-15T13:35:00Z,9.0,-78.28,104.824,-81.231,108.766,330.7,337.5
2023-02-15T14:13:00Z,2023-02-15T14:22:00Z,9.0,81.201,-67.304,80.682,-76.889,147.9,177.4
2023-02-15T14:14:00Z,2023-02-15T14:22:00Z,8.0,78.876,-84.442,80.682,-76.889,247.8,249.9
2023-02-15T15:00:57Z,2023-02-15T15:09:00Z,8.0,-81.788,108.842,-80.092,96.351,286.7,288.0
2023-02-15T15:01:59Z,2023-02-15T15:09:00Z,7.0,-79.728,88.259,-80.092,96.351,121.2,162.8
2023-02-15T15:48:58Z,2023-02-15T15:56:00Z,7.0,81.997,-79.037,79.376,-90.625,348.9,357.4
2023-02-15T15:49:58Z,2023-02-15T15:56:00Z,6.0,80.205,-100.513,79.376,-90.625,45.9,215.5
2023-02-15T15:50:40Z,2023-02-15T15:57:00Z,6.3,78.4,-110.799,81.468,-110.079,319.5,341.7
2023-02-15T16:37:58Z,2023-02-15T16:44:00Z,6.0,-80.906,73.38,-81.01,64.205,80.0,160.8
2023-02-15T16:39:00Z,2023-02-15T16:44:00Z,5.0,-78.37,56.994,-81.01,64.205,326.5,326.5
2023-02-15T18:14:00Z,2023-02-15T18:18:00Z,4.0,-81.709,59.301,-79.8,51.196,253.3,256.7
2023-02-15T18:15:02Z,2023-02-15T18:18:00Z,3.0,-79.591,39.184,-79.8,51.196,152.2,239.9
2023-02-15T19:01:58Z,2023-02-15T19:05:00Z,3.0,81.997,-127.271,79.055,-136.047,336.6,363.9
2023-02-15T19:02:58Z,2023-02-15T19:06:00Z,3.0,80.206,-148.751,81.271,-154.49,53.4,156.8
2023-02-15T19:50:58Z,2023-02-15T19:53:00Z,2.0,-80.881,24.894,-80.772,19.49,64.4,96.6
2023-02-15T19:52:00Z,2023-02-15T19:53:00Z,1.0,-78.336,8.599,-80.772,19.49,339.6,347.9
2023-02-15T20:39:02Z,2023-02-15T20:40:00Z,1.0,81.112,-164.784,80.145,-166.788,107.0,113.6
2023-02-15T20:40:02Z,2023-02-15T20:40:00Z,-0.0,78.749,178.439,80.145,-166.788,283.9,337.6
2023-02-15T21:27:01Z,2023-02-15T21:27:00Z,-0.0,-81.677,10.497,-79.502,5.876,232.5,256.1
2023-02-15T21:27:57Z,2023-02-15T21:28:00Z,0.0,-79.793,-7.822,-81.535,-13.896,127.8,222.5
2023-02-15T22:15:02Z,2023-02-15T22:14:00Z,-1.0,81.91,-177.39,78.73,178.392,295.5,362.5
2023-02-15T22:16:02Z,2023-02-15T22:15:00Z,-1.0,80.033,161.747,81.058,160.913,92.0,115.1
2023-02-15T23:04:00Z,2023-02-15T23:02:00Z,-2.0,-80.798,-24.185,-80.525,-25.425,37.7,37.7
2023-02-15T23:05:02Z,2023-02-15T23:02:00Z,-3.0,-78.221,-40.17,-80.525,-25.425,363.7,394.8
2023-02-15T23:52:00Z,2023-02-15T23:49:00Z,-3.0,81.177,147.658,79.861,148.037,109.1,146.6
2023-02-15T23:53:00Z,2023-02-15T23:50:00Z,-3.0,78.84,130.624,81.734,126.961,277.2,329.3
2023-02-16T00:39:59Z,2023-02-16T00:36:00Z,-4.0,-81.729,-36.939,-79.195,-39.556,234.3,286.1
2023-02-16T00:41:01Z,2023-02-16T00:37:00Z,-4.0,-79.623,-57.157,-81.351,-58.344,163.8,193.7
2023-02-16T01:27:58Z,2023-02-16T01:24:00Z,-4.0,81.987,135.916,80.829,116.171,310.5,350.6
2023-02-16T01:28:58Z,2023-02-16T01:24:00Z,-5.0,80.181,114.531,80.829,116.171,77.5,78.2
2023-02-16T02:16:58Z,2023-02-16T02:11:00Z,-6.0,-80.877,-71.682,-80.264,-70.458,42.2,71.8
