mats_obs_utc,aim_overpass_utc,time_diff_min,mats_tp_lat_deg,mats_tp_lon_deg,aim_center_lat_deg,aim_center_lon_deg,cross_track_km,distance_tp_to_aim_km
2023-02-12T11:20:59Z,2023-02-12T11:30:00Z,9.0,-78.191,138.14,-80.703,145.71,318.9,318.9
2023-02-12T12:07:57Z,2023-02-12T12:17:00Z,9.0,81.044,-31.462,80.059,-40.594,193.2,199.4
2023-02-12T12:08:57Z,2023-02-12T12:17:00Z,8.0,78.978,-49.825,80.059,-40.594,203.0,221.9
2023-02-12T12:56:03Z,2023-02-12T13:04:00Z,7.9,-81.225,139.655,-79.377,132.177,243.4,248.6
2023-02-12T12:56:58Z,2023-02-12T13:04:00Z,7.0,-79.489,121.491,-79.377,132.177,121.7,218.2
2023-02-12T13:44:01Z,2023-02-12T13:51:00Z,7.0,81.579,-45.28,78.59,-55.381,357.6,383.7
2023-02-12T13:45:01Z,2023-02-12T13:52:00Z,7.0,79.99,-66.883,80.962,-72.459,35.4,149.0
2023-02-12T14:33:02Z,2023-02-12T14:39:00Z,6.0,-80.429,105.212,-80.388,101.308,47.5,72.5
2023-02-12T14:33:58Z,2023-02-12T14:39:00Z,5.0,-78.272,90.296,-80.388,101.308,316.4,326.1
2023-02-12T15:21:01Z,2023-02-12T15:26:00Z,5.0,80.944,-81.078,79.702,-85.349,155.8,159.5
2023-02-12T15:22:01Z,2023-02-12T15:26:00Z,4.0,78.817,-99.022,79.702,-85.349,238.4,299.4
2023-02-12T16:08:59Z,2023-02-12T16:13:00Z,4.0,-81.312,92.976,-78.991,87.102,256.8,281.2
2023-02-12T16:10:01Z,2023-02-12T16:14:00Z,4.0,-79.406,72.713,-81.223,68.94,143.2,214.1
2023-02-12T16:57:59Z,2023-02-12T17:01:00Z,3.0,80.056,-114.561,80.669,-116.699,34.3,79.0
2023-02-15T00:27:01Z,2023-02-15T00:57:00Z,30.0,-80.4,-43.62,-77.63,-37.609,113.4,333.3
2023-02-15T00:27:56Z,2023-02-15T00:58:00Z,30.1,-78.233,-58.436,-80.252,-52.165,259.1,259.5
2023-02-15T01:15:00Z,2023-02-15T01:45:00Z,30.0,80.884,129.607,79.551,121.026,219.3,219.5
2023-02-15T01:16:00Z,2023-02-15T01:45:00Z,29.0,78.723,111.964,79.551,121.026,187.6,211.0
2023-02-15T02:02:58Z,2023-02-15T02:32:00Z,29.0,-81.289,-56.026,-78.852,-66.768,330.6,339.6
2023-02-15T02:04:00Z,2023-02-15T02:32:00Z,28.0,-79.357,-76.169,-78.852,-66.768,86.2,205.4
2023-02-15T02:51:58Z,2023-02-15T03:20:00Z,28.0,79.985,96.314,80.563,89.701,24.0,139.9
2023-02-15T02:52:58Z,2023-02-15T03:20:00Z,27.0,77.458,81.869,80.563,89.701,381.7,382.8
2023-02-15T03:39:58Z,2023-02-15T04:07:00Z,27.0,-80.47,-91.14,-79.956,-97.171,118.6,127.6
2023-02-15T03:41:00Z,2023-02-15T04:07:00Z,26.0,-78.055,-107.515,-79.956,-97.171,296.9,304.2
2023-02-15T04:28:02Z,2023-02-15T04:54:00Z,26.0,80.818,80.579,79.224,75.736,190.7,200.4
2023-02-15T04:29:02Z,2023-02-15T04:54:00Z,25.0,78.624,63.199,79.224,75.736,214.4,275.7
2023-02-15T05:16:01Z,2023-02-15T05:41:00Z,25.0,-81.2,-105.816,-78.504,-112.303,289.7,325.5
2023-02-15T05:16:57Z,2023-02-15T05:42:00Z,25.0,-79.44,-123.842,-80.896,-129.065,80.9,189.9
2023-02-15T06:05:00Z,2023-02-15T06:29:00Z,24.0,79.903,47.421,80.284,44.841,3.6,65.1
2023-02-15T06:53:00Z,2023-02-15T07:16:00Z,23.0,-80.391,-140.182,-79.648,-142.323,89.1,92.4
2023-02-15T06:54:02Z,2023-02-15T07:16:00Z,22.0,-77.943,-156.276,-79.648,-142.323,324.3,355.2
2023-02-15T07:41:00Z,2023-02-15T08:03:00Z,22.0,80.869,32.978,78.888,30.316,189.8,226.6
2023-02-15T07:42:00Z,2023-02-15T08:04:00Z,22.0,78.705,15.405,81.163,12.378,210.1,279.7
2023-02-15T08:28:57Z,2023-02-15T08:50:00Z,21.0,-81.28,-152.653,-78.149,-157.953,300.5,363.7
2023-02-15T08:29:59Z,2023-02-15T08:51:00Z,21.0,-79.342,-172.75,-80.642,-173.772,109.4,146.0
2023-02-15T09:17:58Z,2023-02-15T09:38:00Z,20.0,79.969,-0.296,79.992,-0.173,3.5,3.5
2023-02-15T10:05:58Z,2023-02-15T10:25:00Z,19.0,-80.457,172.215,-79.33,172.385,90.1,125.5
2023-02-15T10:07:00Z,2023-02-15T10:26:00Z,19.0,-78.036,155.885,-81.434,153.172,318.7,382.0
2023-02-15T10:54:02Z,2023-02-15T11:12:00Z,18.0,80.814,-16.017,78.543,-15.227,163.0,253.2
2023-02-15T10:55:02Z,2023-02-15T11:13:00Z,18.0,78.616,-33.361,80.93,-32.176,235.3,258.7
2023-02-15T11:42:01Z,2023-02-15T12:00:00Z,18.0,-81.188,157.438,-80.373,141.364,261.8,299.5
2023-02-15T11:42:57Z,2023-02-15T12:00:00Z,17.0,-79.417,139.469,-80.373,141.364,108.6,112.7
2023-02-15T12:30:00Z,2023-02-15T12:47:00Z,17.0,81.533,-27.956,79.689,-45.331,370.4,374.2
2023-02-15T12:31:00Z,2023-02-15T12:47:00Z,16.0,79.889,-49.219,79.689,-45.331,30.5,79.9
2023-02-15T13:19:00Z,2023-02-15T13:34:00Z,15.0,-80.378,123.165,-79.003,126.967,61.3,170.7
2023-02-15T13:20:02Z,2023-02-15T13:35:00Z,15.0,-77.927,107.122,-81.231,108.766,345.0,369.2
2023-02-15T14:07:00Z,2023-02-15T14:22:00Z,15.0,80.874,-63.487,80.682,-76.889,167.9,239.5
2023-02-15T14:08:00Z,2023-02-15T14:22:00Z,14.0,78.71,-81.097,80.682,-76.889,231.4,234.8
2023-02-15T14:54:58Z,2023-02-15T15:09:00Z,14.0,-81.279,110.781,-80.092,96.351,275.8,290.6
2023-02-15T14:56:00Z,2023-02-15T15:09:00Z,13.0,-79.336,90.695,-80.092,96.351,133.3,140.4
2023-02-15T15:42:58Z,2023-02-15T15:56:00Z,13.0,81.563,-75.359,79.376,-90.625,370.0,370.1
2023-02-15T15:43:58Z,2023-02-15T15:56:00Z,12.0,79.964,-96.851,79.376,-90.625,28.3,140.4
2023-02-15T16:31:58Z,2023-02-15T16:44:00Z,12.0,-80.456,75.728,-81.01,64.205,68.5,215.1
2023-02-15T16:33:00Z,2023-02-15T16:44:00Z,11.0,-78.034,59.396,-81.01,64.205,339.0,345.0
2023-02-15T18:08:00Z,2023-02-15T18:18:00Z,10.0,-81.21,61.352,-79.8,51.196,242.2,243.2
2023-02-15T18:09:02Z,2023-02-15T18:18:00Z,9.0,-79.211,41.644,-79.8,51.196,164.6,204.2
2023-02-15T18:55:58Z,2023-02-15T19:05:00Z,9.0,81.564,-123.559,79.055,-136.047,356.9,362.8
2023-02-15T18:56:58Z,2023-02-15T19:05:00Z,8.0,79.965,-145.073,79.055,-136.047,39.3,208.8
2023-02-15T19:44:58Z,2023-02-15T19:53:00Z,8.0,-80.44,27.294,-80.772,19.49,52.9,146.4
